STATE,COUNTY,YEAR,JOB_VALUE,Classification
CA,ORANGE,2019,7000,POTENTIAL_ADU_CONVERSION
CA,ORANGE,2019,128659,ADU
CA,ORANGE,2019,21812,NON_ADU
FL,PINELLAS,2019,3268,NON_ADU
FL,PINELLAS,2019,4995,NON_ADU
CA,ORANGE,2019,14000,NON_ADU
CA,ORANGE,2019,5500,NON_ADU
CA,ORANGE,2019,110000,NON_ADU
CA,ORANGE,2019,5000,NON_ADU
CA,ORANGE,2019,12000,NON_ADU
CA,ORANGE,2019,5000,NON_ADU
FL,PINELLAS,2019,4300,NON_ADU
FL,PINELLAS,2019,3383,NON_ADU
FL,MIAMI-DADE,2019,5700,NON_ADU
FL,MIAMI-DADE,2019,10000,NON_ADU
CA,ORANGE,2019,8000,NON_ADU
CA,ORANGE,2019,3000,NON_ADU
CA,ORANGE,2019,30000,NON_ADU
CA,ORANGE,2019,30000,NON_ADU
FL,ORANGE,2019,6780,NON_ADU
FL,PINELLAS,2019,3007,NON_ADU
CA,ORANGE,2019,70000,ADU
CA,ORANGE,2019,45000,NON_ADU
FL,PINELLAS,2019,7740,NON_ADU
CA,ORANGE,2019,9035,NON_ADU
FL,PINELLAS,2019,39500,NON_ADU
CA,ORANGE,2019,20000,NON_ADU
CA,ORANGE,2019,3500,NON_ADU
CA,ORANGE,2019,173410,ADU
FL,PINELLAS,2019,3427,NON_ADU
CA,ORANGE,2019,2700,NON_ADU
FL,MIAMI-DADE,2019,86000,NON_ADU
CA,ORANGE,2019,22000,NON_ADU
FL,PINELLAS,2019,1984,NON_ADU
FL,ORANGE,2019,123000,ADU
CA,ORANGE,2019,4600,NON_ADU
FL,ORANGE,2019,3120,NON_ADU
CA,ORANGE,2019,4000,NON_ADU
CA,ORANGE,2019,1300000,NON_ADU
CA,ORANGE,2019,9875,NON_ADU
FL,PINELLAS,2019,2235,NON_ADU
FL,MIAMI-DADE,2019,20000,NON_ADU
FL,MIAMI-DADE,2019,122943,NON_ADU
CA,ORANGE,2019,8000,NON_ADU
CA,ORANGE,2019,50000,NON_ADU
CA,ORANGE,2019,10000,NON_ADU
CA,ORANGE,2019,1000,NON_ADU
CA,ORANGE,2019,4500,NON_ADU
FL,ORANGE,2019,147000,ADU
CA,ORANGE,2019,11432,NON_ADU
CA,ORANGE,2019,9480,NON_ADU
FL,ORANGE,2019,6035,NON_ADU
CA,ORANGE,2019,135000,NON_ADU
FL,PINELLAS,2019,3752,NON_ADU
CA,ORANGE,2019,7000,NON_ADU
FL,MIAMI-DADE,2019,5000,NON_ADU
CA,ORANGE,2019,65000,POTENTIAL_ADU_CONVERSION
CA,ORANGE,2019,101740,POTENTIAL_ADU_CONVERSION
CA,ORANGE,2019,12000,NON_ADU
FL,MIAMI-DADE,2019,4239,NON_ADU
CA,ORANGE,2019,5760,NON_ADU
CA,ORANGE,2019,9865,NON_ADU
FL,PINELLAS,2019,70000,NON_ADU
FL,ORANGE,2019,24200,NON_ADU
CA,ORANGE,2019,5327,NON_ADU
FL,PINELLAS,2019,5039,NON_ADU
FL,PINELLAS,2019,2400,NON_ADU
FL,MIAMI-DADE,2019,39000,NON_ADU
CA,ORANGE,2019,80000,ADU
FL,PINELLAS,2019,1435,NON_ADU
FL,PINELLAS,2019,12000,NON_ADU
CA,ORANGE,2019,15000,NON_ADU
CA,ORANGE,2019,2500,NON_ADU
CA,ORANGE,2019,5000,NON_ADU
CA,ORANGE,2019,21000,NON_ADU
CA,ORANGE,2019,32000,NON_ADU
CA,ORANGE,2019,6200,NON_ADU
FL,PINELLAS,2019,3000,NON_ADU
FL,PINELLAS,2019,3877,NON_ADU
CA,ORANGE,2019,2500,NON_ADU
CA,ORANGE,2019,40000,NON_ADU
FL,PINELLAS,2019,2873,NON_ADU
CA,ORANGE,2019,14000,NON_ADU
FL,PINELLAS,2019,3158,NON_ADU
CA,ORANGE,2019,8650,NON_ADU
FL,PINELLAS,2019,5424,NON_ADU
CA,ORANGE,2019,10000,NON_ADU
CA,ORANGE,2019,15000,NON_ADU
CA,ORANGE,2019,4057,NON_ADU
FL,ORANGE,2019,13300,NON_ADU
CA,ORANGE,2019,28000,NON_ADU
CA,ORANGE,2019,145000,ADU
CA,ORANGE,2019,21964,ADU
FL,MIAMI-DADE,2019,4400,NON_ADU
FL,PINELLAS,2019,127000,NON_ADU
CA,ORANGE,2019,50000,POTENTIAL_ADU_CONVERSION
CA,ORANGE,2019,75000,NON_ADU
